,attachments,bonus,category,completed,hint,hint_cost,intro,level_id,links,owner,points,title,type
Angola,[],0,Quiz,"['SLACKers', 'Blah', 'thestickering', 'Club Bread', 'SecNoob', 'Day-Sec Machina', ""Bo's Boys"", 'blah2', 'maliciousmushroom', 'Cyber@UC', 'Th3J0kr']",no,-1,This tool is commonly used to investigate packet captures.,73,[],SLACKers,10,Entry Level Security Professional,quiz
Argentina,[],0,Quiz,"['SLACKers', ""Bo's Boys"", 'thestickering', 'Club Bread', 'Th3J0kr', 'Day-Sec Machina', 'Cyber@UC', 'blah2', 'Pari-Chute', 'og_catzilla', 'DefconDolly']",no,-1,This runs over port 443 and adds some security to web browsing.,67,[],SLACKers,3,101,quiz
Australia,[],0,Quiz,"['SLACKers', ""Bo's Boys"", 'Club Bread', 'Day-Sec Machina', 'Th3J0kr', 'og_catzilla', 'Cyber@UC']",no,-1,What is the name given to the exploit believed to be developed by NSA that abuses SMB v1 and was released by Shadow Brokers,41,[],SLACKers,5,Script Kiddie,quiz
Austria,[],0,Quiz,"['Club Bread', ""Bo's Boys"", 'SecNoob', 'Day-Sec Machina', 'Cyber@UC', 'thestickering', 'SLACKers', 'Th3J0kr', 'blah2']",no,-1,A hacker group that adopted the Guy Fawkes mask.,65,[],Club Bread,5,Script Kiddie,quiz
Bangladesh,[],0,Quiz,"['C.S.I.M.C. Crew', ""Bo's Boys"", 'SLACKers', 'Club Bread', 'Day-Sec Machina', 'Cyber@UC', 'Th3J0kr', 'blah2']",oneword,0,Digital Currency with inherent privacy of transactions and owner. ,66,[],C.S.I.M.C. Crew,3,101,quiz
Belarus,[],0,Quiz,"['SLACKers', ""Bo's Boys"", 'Club Bread', 'Day-Sec Machina', 'blah2']",trick or treat... Answer is 2 words and expalins what this question is.,0,"What's more secure SSL or HTTPS? 

;)",87,[],SLACKers,10,Security Professional,quiz
Botswana,[],0,Quiz,"['SLACKers', 'thestickering', 'Club Bread', 'SecNoob', 'Day-Sec Machina', ""Bo's Boys"", 'Cyber@UC']",no,-1,What port does Windows Remote Manager run on by default?,34,[],SLACKers,5,Script Kiddie,quiz
Brazil,[],0,Quiz,"['SLACKers', 'Day-Sec Machina', ""Bo's Boys"", 'Club Bread', 'Pari-Chute', 'og_catzilla']",RUN to this answer. HKLM\Software\..,0,This Windows registry is a common location for malware to execute from and is executed on start up. Use the short hand name for primary hive when answering.,45,[],SLACKers,15,Security Professional,quiz
Burkina Faso,[],0,Quiz,"[""Bo's Boys"", 'Day-Sec Machina', 'SecNoob', 'SLACKers', 'Club Bread', 'Cyber@UC', 'Pari-Chute']",no,-1,What is the most commonly used algorithm to compare or validate files?,79,[],Bo's Boys,10,Entry Level Security Professional,quiz
Cameroon,[],0,Quiz,"['SLACKers', 'SecNoob', ""Bo's Boys"", 'Day-Sec Machina', 'Club Bread', 'Cyber@UC']",_,0,What is the $MFT index number?,46,[],SLACKers,15,Security Professional,quiz
